Cycle,tAD,H2Purity,H2Puritysp
405.0,97.843706028,94.9849,95.0
406.0,97.843706028,94.9832,95.0
407.0,97.843706028,94.9815,95.0
408.0,97.843706028,94.9799,95.0
409.0,97.843706028,94.9783,94.0
410.0,100.42013065,94.725,94.0
411.0,101.28314876,94.5998,94.0
412.0,102.48543636,94.4618,94.0
413.0,103.19581146,94.3696,94.0
414.0,103.85696126,94.2895,94.0
415.0,104.32825808,94.2297,94.0
416.0,104.71746021,94.1812,94.0
417.0,105.01206153,94.1433,94.0
418.0,105.01206153,94.1358,94.0
419.0,105.22479349,94.1124,94.0
420.0,105.40872767,94.0892,94.0
421.0,105.54320838,94.0708,94.0
422.0,105.54320838,94.0661,94.0
423.0,105.6364944,94.0549,94.0
424.0,105.6364944,94.0517,94.0
425.0,105.70838527,94.0428,94.0
426.0,105.70838527,94.0396,94.0
427.0,105.70838527,94.0374,94.0
428.0,105.75120727,94.0312,94.0
429.0,105.7892984,94.0249,94.0
430.0,105.81280456,94.0202,94.0
431.0,105.82968512,94.0163,94.0
432.0,105.83901414,94.0132,94.0
433.0,105.84314263,94.0109,94.0
434.0,105.84331127,94.009,94.0
435.0,105.84005582,94.0076,94.0
436.0,105.83447061,94.0064,94.0
437.0,105.83447061,94.0046,94.0
438.0,105.83447061,94.0025,94.0
439.0,105.81639125,94.0021,94.0
440.0,105.8022949,94.0016,94.0
441.0,105.78532708,94.0014,94.0
442.0,105.76889036,94.0012,94.0
443.0,105.75175627,94.0011,94.0
444.0,105.75175627,93.9993,94.0
445.0,105.75175627,93.9972,94.0
446.0,105.75175627,93.9952,93.0
447.0,108.35874135,93.7403,93.0
448.0,109.24796345,93.6137,93.0
449.0,110.47448545,93.4751,93.0
450.0,111.20827614,93.3822,93.0
451.0,111.20827614,93.3673,93.0
452.0,111.85200293,93.3017,93.0
453.0,112.36049293,93.2414,93.0
454.0,112.36049293,93.2312,93.0
455.0,112.73703442,93.1919,93.0
456.0,113.06287122,93.1533,93.0
457.0,113.30751857,93.1228,93.0
458.0,113.30751857,93.117,93.0
459.0,113.48890666,93.0972,93.0
460.0,113.48890666,93.0927,93.0
461.0,113.48890666,93.0905,93.0
462.0,113.62554374,93.0756,93.0
463.0,113.74109167,93.0608,93.0
464.0,113.82629698,93.0486,93.0
465.0,113.82629698,93.045,93.0
466.0,113.88180777,93.0377,93.0
467.0,113.92999217,93.0306,93.0
468.0,113.96258129,93.0249,93.0
469.0,113.98627844,93.0204,93.0
470.0,113.98627844,93.0184,93.0
471.0,113.9964187,93.0157,93.0
472.0,113.9964187,93.0139,93.0
473.0,113.9964187,93.0123,93.0
474.0,113.99589365,93.0108,93.0
475.0,113.99571616,93.0092,93.0
476.0,113.99121389,93.0081,93.0
477.0,113.99121389,93.0066,93.0
478.0,113.9815345,93.006,93.0
479.0,113.9723895,93.0054,93.0
480.0,113.96146596,93.0052,93.0
481.0,113.95070251,93.0049,93.0
482.0,113.95070251,93.0035,93.0
483.0,113.95070251,93.002,93.0
484.0,113.93144987,93.0024,93.0
485.0,113.91667612,93.002,93.0
486.0,113.89906747,93.0017,93.0
487.0,113.89906747,92.9999,93.0
488.0,113.87702224,93.0001,93.0
489.0,113.87702224,92.9984,93.0
490.0,113.85279244,92.9986,93.0
491.0,113.82997267,92.9991,93.0
492.0,113.80791453,92.9996,93.0
493.0,113.78678053,93.0,93.0
494.0,113.76642824,93.0006,93.0
495.0,113.76642824,92.9994,93.0
496.0,113.74410733,93.0,93.0
497.0,113.7242584,93.0006,93.0
498.0,113.70499115,93.0012,93.0
499.0,113.68708071,93.0017,93.0
500.0,113.66991201,93.002,93.0
501.0,113.66991201,93.0005,93.0
502.0,113.64927948,93.0006,93.0
503.0,113.63031164,93.0008,93.0
504.0,113.63031164,92.9993,93.0
505.0,113.60724067,93.0001,93.0
506.0,113.58793778,93.0008,93.0
507.0,113.56899123,93.0015,93.0
508.0,113.55172256,93.002,93.0
509.0,113.55172256,93.0009,93.0
510.0,113.53222255,93.0014,93.0
511.0,113.51492469,93.0019,93.0
512.0,113.49804613,93.0025,93.0
513.0,113.49804613,93.0013,93.0
514.0,113.49804613,92.9999,93.0
515.0,113.47572775,93.0001,93.0
516.0,113.45610984,93.0002,93.0
517.0,113.4358853,93.0004,97.0
518.0,102.85658243,94.018,97.0
519.0,99.168985086,94.5344,97.0
520.0,94.150602778,95.1036,97.0
521.0,91.133976208,95.488,97.0
522.0,88.342519546,95.8198,97.0
523.0,86.328898163,96.0666,97.0
524.0,84.656523181,96.2651,97.0
525.0,83.369203134,96.4178,97.0
526.0,82.330332139,96.5388,97.0
527.0,81.510629059,96.6335,97.0
528.0,80.852627215,96.709,97.0
529.0,80.32864268,96.7684,97.0
530.0,79.907501179,96.8161,97.0
531.0,79.570835652,96.8529,97.0
532.0,79.297277727,96.8823,97.0
533.0,79.075929458,96.9059,97.0
534.0,78.895799697,96.9262,97.0
535.0,78.895799697,96.9287,97.0
536.0,78.759257223,96.9399,97.0
537.0,78.634764829,96.9517,97.0
538.0,78.536410349,96.9617,97.0
539.0,78.454072274,96.9695,97.0
540.0,78.385845051,96.9758,97.0
541.0,78.328496227,96.9808,97.0
542.0,78.280047096,96.9847,97.0
543.0,78.280047096,96.9843,97.0
544.0,78.237465184,96.9874,97.0
545.0,78.200462161,96.9904,97.0
546.0,78.16895876,96.9929,97.0
547.0,78.142031788,96.9948,97.0
548.0,78.11822027,96.9964,97.0
549.0,78.097448804,96.9972,97.0
550.0,78.077548794,96.9983,97.0
551.0,78.06018568,96.9993,97.0
552.0,78.044443439,97.0,93.0
553.0,88.589557258,96.0162,93.0
554.0,92.331559388,95.4898,93.0
555.0,97.343187693,94.9143,93.0
556.0,100.35863864,94.5262,93.0
557.0,103.13833216,94.1922,93.0
558.0,105.13857125,93.9441,93.0
559.0,106.79482192,93.7438,93.0
560.0,108.06241801,93.5887,93.0
561.0,109.07661397,93.4655,93.0
562.0,109.8679651,93.3689,93.0
563.0,110.49398937,93.2925,93.0
564.0,110.98507298,93.2323,93.0
565.0,111.371568,93.1845,93.0
566.0,111.371568,93.1756,93.0
567.0,111.371568,93.173,93.0
568.0,111.64367099,93.1448,93.0
569.0,111.88728761,93.1156,93.0
570.0,112.06555288,93.0928,93.0
571.0,112.20978329,93.0736,93.0
572.0,112.31700134,93.0586,93.0
573.0,112.3996487,93.0466,93.0
574.0,112.46056302,93.0372,93.0
575.0,112.50535175,93.0298,93.0
576.0,112.5369913,93.0239,93.0
577.0,112.55850487,93.0191,93.0
578.0,112.57149822,93.0151,93.0
579.0,112.57734617,93.012,93.0
580.0,112.57784415,93.0099,93.0
581.0,112.57784415,93.008,93.0
582.0,112.56992467,93.0068,93.0
583.0,112.56992467,93.0051,93.0
584.0,112.55773445,93.0044,93.0
585.0,112.55773445,93.0025,93.0
586.0,112.55773445,93.0004,93.0
587.0,112.53490683,92.9999,93.0
588.0,112.51502464,92.9994,93.0
589.0,112.49266413,92.9993,93.0
590.0,112.47101036,92.9992,93.0
591.0,112.47101036,92.9971,93.0
592.0,112.44324411,92.9973,93.0
593.0,112.41864582,92.9978,93.0
594.0,112.39395941,92.9983,93.0
595.0,112.39395941,92.9965,93.0
596.0,112.3658707,92.997,93.0
597.0,112.3658707,92.9951,93.0
598.0,112.3354503,92.9957,93.0
599.0,112.30752313,92.9966,93.0
600.0,112.28102856,92.997,93.0
601.0,112.28102856,92.9949,93.0
602.0,112.24945997,92.9955,93.0
603.0,112.24945997,92.9937,93.0
604.0,112.21670755,92.9947,93.0
605.0,112.18698381,92.9959,93.0
606.0,112.15938206,92.9969,93.0
607.0,112.15938206,92.9952,93.0
608.0,112.12907006,92.996,93.0
609.0,112.10194951,92.997,93.0
610.0,112.10194951,92.9952,93.0
611.0,112.07148165,92.9963,93.0
612.0,112.04520797,92.9974,93.0
613.0,112.02020861,92.9983,93.0
614.0,112.02020861,92.9966,94.0
615.0,109.35275522,93.2507,94.0
616.0,108.40846168,93.3791,94.0
617.0,107.12947192,93.5202,94.0
618.0,106.34873517,93.6158,94.0
619.0,105.62372751,93.6991,94.0
620.0,105.09426216,93.7616,94.0
621.0,104.65145234,93.8123,94.0
622.0,104.30754789,93.8517,94.0
623.0,104.30754789,93.8558,94.0
